table,_start,_stop,_time,_measurement,file_type,job_id,job_name,job_status,production_label,project_name,quality,render_node,resolution,task,aa_samples,aov_count,file_size,frame_number,light_count,polygon_count,render_time,total_render_time
0,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.839025Z,render_jobs,exr,000a3f1c-db70-4fe1-85ee-e969e22b3ab2,nike_0456_compositing.1049,finished,fx_complex,nike_0456,final,node_12,3840x2160,compositing,16,7,3.2688458643581026,1049,8,271940,141.5938674055329,7079.6933702766455
1,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.682124Z,render_jobs,exr,002faaf4-67b9-44ed-9e8b-f73353e7c591,nike_0456_compositing.1014,idle,lighting_easy,nike_0456,medium,node_14,1920x1080,compositing,4,2,8.619728808570915,1014,4,815562,132.59075604373047,6629.537802186524
2,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.909114Z,render_jobs,exr,003b9ba2-81d5-4083-81dd-c609d37d1907,nike_0456_animation_playblast.1032,finished,fx_easy,nike_0456,low,node_13,1280x720,animation_playblast,2,2,9.682748470524537,1032,10,457337,88.91500122248075,4445.7500611240375
3,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.741492Z,render_jobs,exr,004430dd-9e66-48f1-9f0d-b66680502a92,lidl_0123_lighting.1035,finished,lighting_easy,lidl_0123,medium,node_1,1920x1080,lighting,4,1,7.016430936,1035,7,439071,80.55528512824596,4027.764256412298
4,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.799137Z,render_jobs,exr,004c061e-b80f-4f03-9825-efdd0c70c51e,lidl_0123_animation_playblast.1044,idle,lighting_mid,lidl_0123,final,node_12,3840x2160,animation_playblast,16,5,9.966517809854382,1044,12,141120,128.43314912107505,6421.657456053752
5,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.89596Z,render_jobs,exr,005ac5ff-3729-49b1-b932-245e3377cad9,lidl_0123_lighting.1028,finished,lighting_mid,lidl_0123,medium,node_4,1920x1080,lighting,4,1,7.096454705349428,1028,13,282982,102.8989565833014,5144.947829
6,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.917534Z,render_jobs,exr,0062686c-fed1-45ef-8059-8cff45d3148e,nike_0456_lighting.1037,idle,fx_easy,nike_0456,low,node_3,1280x720,lighting,2,9,1.064135963219007,1037,18,950362,199.06225417408947,9953.112708704473
7,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.88708Z,render_jobs,exr,00b67f70-26b2-4354-ab22-3d1463e0326e,lidl_0123_compositing.1004,finished,lighting_easy,lidl_0123,low,node_7,1280x720,compositing,2,1,1.9397902173789956,1004,10,667594,120.26612052883121,6013.306026441561
8,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.628536Z,render_jobs,exr,00c564b2-d4ee-48e9-aeab-2790c5c5afc2,lidl_0123_compositing.1031,idle,fx_complex,lidl_0123,high,node_11,2560x1440,compositing,8,8,8.262283328244582,1031,2,791144,171.18231775116757,8559.115887558379
9,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.738142Z,render_jobs,exr,00da2cc8-74f7-439c-926a-dce6f23d51b0,lidl_0123_animation_playblast.1013,finished,fx_easy,lidl_0123,high,node_6,2560x1440,animation_playblast,8,10,9.922273336217641,1013,3,387876,83.92042815014567,4196.021407507284
